content,tag
Fredagen den 19 februari Kompletteringsväl till utskott    se ia ere esccbsssenfr rs,note
7 74,note
TS,note
7,note
79,note
80,note
81,note
82,note
87,note
88,note
89,note
91,note
9,note
99,note
922,note
93,note
Prot 1987886874,note
GUDRUN SCHYMAN (vpk) replik,note
Herr talman Jag noterar att Lennart Pettersson talar om schablondiskussioner när han talar om mina inlägg Det är schabloner som jag kommer med Jag tycker att Lennart Pettersson kommer med just den typen av schabloner som är typiska för socialdemokraterna när de skall diskutera EG Man säger nämligen att vi skall integrera så mycket som möjligt men vi skall inte göra avkall på någonting Vår förhoppning är att kunna integrera Sverige med EG utan att släppa på våra ambitioner inom sysselsättningspolitiken miljöpolitiken och välfärdspolitiken Detta har varenda minister sagt när en fråga ställts om EGpolitiken Visst kan det vara en from förhopp,seg
Prot 1989907,note
11 oktober 1989,note
163,note
ing men mer kan det faktiskt inte vara Skulle det lyckas skriver man i 90 talsrapporten kommer produktiviteten resurserna och välfärden att öka,seg
Men man ställer sig frågan  jag gör det och Sven Lindqvist har gjort det på ett ypperligt sätt i Dagens Nyheter i dag  hur det går om det inte skulle lyckas Skulle då EGintegreringen plötsligt upphöra Skulle de svenska företagen plötsligt flytta tillbaka till Sverige igen Kan vi då backa hela utvecklingen och säga Oj då det gick visst inte som vi hade trott Vi börjar om från början Det menar jag inte kommer att vara möjligt Då sitter vi där Då får vi ta skeden i vacker hand Då får vi konstatera att det faktiskt inte gick att göra denna integration och samtidigt bibehålla alla dessa ambitioner,seg
Vad gäller den offentliga sektorn säger Lennart Pettersson att den ligger utanför EG och får det att låta som att vi därför inte behöver bekymra oss så mycket Jag tycker att det finns en väldig fara just i att den ligger utanför EG Man tänker inte på vilka konsekvenser dagens integrationsprocess kommer att få för den offentliga sektorn Det är det som är faran Det blir inte konsekvenslöst bara därför att denna sektor inte tagits med i EGsamarbetet,seg
