protocol_id,x,elem_id,text,segmentation,seg_type,speaker,comments,facs,github
prot-1956--fk--002,43,i-9pxgPWhR218cepAXokJbD5,"Det förefaller mig av detta uttalande, som om fina",u,,,,https://betalab.kb.se/prot-1956--fk--2/prot_1956__fk__2-043.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1956/prot-1956--fk--002.xml#L4053
prot-1956--fk--002,43,i-5JYMWYrDvaqqK97FhcJj1s,Vilka medel av finanspolitisk art som skall tillgr,u,,,,https://betalab.kb.se/prot-1956--fk--2/prot_1956__fk__2-043.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1956/prot-1956--fk--002.xml#L4065
prot-1957--ak--009,29,i-XfG9wxRje8kcuDqkxrxDVo,Onsdagen den 20 mars 1957 fm.,margin,,,,https://betalab.kb.se/prot-1957--ak--9/prot_1957__ak__9-030.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1957/prot-1957--ak--009.xml#L2913
prot-1957--ak--009,29,i-QvSccwN7X9b3QMjjiAYLEr,Nr 9 31,margin,,,,https://betalab.kb.se/prot-1957--ak--9/prot_1957__ak__9-030.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1957/prot-1957--ak--009.xml#L2916
prot-1957--ak--009,29,i-H4vaACmtC2vR6cUp7sPUgY,Meddelande av utrikesministern; tillika svar på fr,title,,,,https://betalab.kb.se/prot-1957--ak--9/prot_1957__ak__9-030.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1957/prot-1957--ak--009.xml#L2919
prot-1957--ak--009,29,i-C1s3XwEttGoYEmUYmQ6rke,sammanträda för behandling av samtliga föreliggand,u,,,,https://betalab.kb.se/prot-1957--ak--9/prot_1957__ak__9-030.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1957/prot-1957--ak--009.xml#L2925
prot-1957--ak--009,29,i-SpjA5paq2mJ2TLERp2P48i,Under debatten ägnades stor uppmärksamhet åt fråga,u,,,,https://betalab.kb.se/prot-1957--ak--9/prot_1957__ak__9-030.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1957/prot-1957--ak--009.xml#L2935
prot-1957--ak--009,29,i-A7T5vWUYRxgaZpyVN7n4Tu,På det handelspolitiska området har intresset unde,u,,,,https://betalab.kb.se/prot-1957--ak--9/prot_1957__ak__9-030.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1957/prot-1957--ak--009.xml#L2950
prot-1957--ak--009,29,i-T1QgUB19i8AKb1onAgsUe3,Mot denna bakgrund återupptog dessa inom OEEC förs,u,,,,https://betalab.kb.se/prot-1957--ak--9/prot_1957__ak__9-030.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1957/prot-1957--ak--009.xml#L2959
prot-1957--ak--009,29,i-38zb5coeTQswAFh3AFziBu,ras om att frihandelssträvandena inom denna organi,u,,,,https://betalab.kb.se/prot-1957--ak--9/prot_1957__ak__9-030.jp2/_view,https://github.com/welfare-state-analytics/riksdagen-corpus/blob/main/corpus/protocols/1957/prot-1957--ak--009.xml#L2965
