content,tag
Onsdagen den 15 februuri. 41 ,note
"om ni icke gå med på vår ståndpunkt, så kommer den eller den olyckan att uppstå. Punkt och slut. ",seg
"Så har det blivit undan för undan här i riksdagen, och för varje viktig fråga, som kommer fram, märker man mer och mer, huru ogrässkördarna från Folkets hus bakgård spira allt frodigare här i kammaren. ",seg
"För några år sedan motionerade jag här om en internationell exekutiv makt. Jag skall nu icke gå in på att referera saken närmare; de som voro närvarande minnas det nog, och de som icke voro det, kunna taga reda på, hur jag skisserade upp, hur den skulle se ut. Enligt mitt förslag skulle Europas arbetarsammanslutningar vidtaga helt andra åtgärder än dittills för att förbereda sig — detta var några år före världskrigets utbrott — så att man kunde förhindra krig. ",seg
"Motionen blev naturligtvis vederbörligen avhånad, främst inom det parti, jag då tillhörde, såsom naturligtvis alla motioner böra bli, när de framföras av män i underordnad ställning, vilka icke hava någon betydelse inom partiet och som icke äga tillräckligt långa trynen och starka bogar för att tränga sig fram i främsta ledet. ",seg
"Naturligtvis hade mitt förslag sina svagheter, men ett vet jag, och det var, att jag därmed åsyftade, att man skulle göra ett allvarligt försök från alla jordens organiserade arbetare och även andra håll bl. a. riksdagarna, att vidtaga åtgärder för att förhindra krig. — Vad det här är fråga om med detta nationernas förbund är enligt min mening icke några åtgärder att förhindra kriget; jag ser det mer som en åtgärd att förbereda kriget. ",seg
"Hurudan är ställningen i Europa för närvarande? Jo, den är till punkt och pricka densamma, som den var vid 1800-talets början. Genom den politik, som från segrarnas sida bedrives — framtiden må döma, om den är klok eller ej — har Europa mer än någonsin förr blivit klyvt i tvenne hätska hälfter, lika hätska som någonsin Napoleon och de koalitioner, som bildades mot honom, voro mot varandra. Jag befarar, och jag är tämligen säker därpå, att ur denna motsatsställning mellan Europas folk kommer det att växa fram en en ny Napoleon, så sant som nästan allt går igen och allting i historien i synnerhet. Jag ser redan Napoleons spöke skymta, och ni kunna vara förvissade, mina herrar, att han kommer igen. Genom den politik, som nu bedrives, skola vi här 1 Europa få se först en framtvingad samling på ekonomisk grundval mellan Tyskland och Ryssland, samt andra stater i Öst- eller Centraleuropa, och så kommer måhända ur denna framtvingade samling på ekonomisk grund att framgå en sammanslutning för militära ändamål. Sedan kan Napoleonsagan komma att upprepas, och så ha vi krigets alla olyckor över oss igen. Detta inser ententen, och därför vill man vidtaga åtgärder för att i denna form trygga segern och freden i Versailles. Man inser det ohållbara hos ett nationernas förbund, till vilket man icke inbjuder de forna fiendestaterna. Detta inser även Amerika, och därför vill det icke ansluta sig till nationernas förbund. Däriör borde också vi med vårt gynnsamma geografiska läge taga oss åtskilliga funderare, innan vi bestämma oss för att säga ja eller ",seg
Nr 18. ,note
Vid remiss av propositionen nr 90. (Forts.) ,note
Onsdagen den 10 mars. 5 Nr 2. ,note
